iso3,PIB (US$)/hab
ABW,29007.6930034887
AFG,519.884773089339
AGO,4095.81294155857
ALB,4531.02080555986
AND,38962.8803536703
ARB,6108.58822028271
ARE,40644.804043392
ARG,14613.0418246696
ARM,3914.5012684128
ASM,10823.4448040273
ATG,15383.4151884998
AUS,54027.9668184568
AUT,47426.5119597773
AZE,4147.08971569171
BDI,292.997630684415
BEL,44192.6230270333
BEN,1136.59284704681
BFA,734.994429826895
BGD,1563.91369862485
BGR,8334.08172775332
BHR,23742.9850166355
BHS,32718.6381008013
BIH,5394.59122017677
BLR,5761.74712023007
BLZ,4887.5772083381
BMU,111820.581466347
BOL,3351.1240444427
BRA,9925.38623770041
BRB,17391.4258663397
BRN,28572.1467776509
BTN,3286.57470287488
BWA,7893.23253363666
CAF,450.900244979058
CAN,45146.1139998138
CEB,14244.8644785917
CHE,80449.9945127739
CHL,14999.3700885512
CHN,8879.43866711346
CIV,2111.02707557541
CMR,1425.10781805333
COD,467.07423746489
COG,2191.22043789319
COL,6376.70671552601
COM,1323.81158996501
CPV,3292.64575457372
CRI,11814.6265687665
CSS,9767.97005850011
CUB,8541.2106734664
CUW,19457.5315232205
CYM,81302.122965073
CYP,26338.6943443136
CZE,20636.199952435
DEU,44552.8193719078
DJI,2914.38385631251
DMA,7274.72133332919
DNK,57610.0981801136
DOM,7609.33879952227
DZA,4111.29411013269
EAP,7173.56731526143
EAR,3555.33459430595
EAS,10467.3539156928
ECA,7879.81870052492
ECS,23629.1062496353
ECU,6213.50127649921
EGY,2444.29031115094
EMU,37140.6698528957
ESP,28170.1678643302
EST,20458.4607286705
ETH,768.522307579386
EUU,33080.9186444207
FCS,2055.57360374933
FIN,46336.6632530127
FJI,6101.03083866498
FRA,38812.1610341682
FRO,60108.4666887359
FSM,3289.70114571277
GAB,7230.39639268426
GBR,40361.4173832159
GEO,4357.00093554628
GHA,2025.93242386751
GIN,855.573639877367
GMB,679.756913965828
GNB,738.549944890782
GNQ,9667.91225173046
GRC,18930.2186276597
GRD,10152.8328118872
GRL,50321.3687543442
GTM,4451.45098144235
GUM,35615.8046274371
GUY,6124.92996724861
HIC,42013.14613375
HKG,46165.8565115953
HND,2453.72789597457
HPC,939.509103511368
HRV,13451.6249479152
HTI,1294.23974604323
HUN,14605.8543453283
IBD,6094.40246467665
IBT,4889.15290327857
IDA,1319.41219090651
IDB,1718.48233204613
IDN,3837.65173121117
IDX,1118.02654719899
IMN,83489.8170360741
IND,1981.6510498992
IRL,69822.3470849141
IRN,5520.31047120905
IRQ,5205.28825476591
ISL,71310.9392562342
ISR,40541.8620938968
ITA,32406.7203150134
JAM,5069.18383810726
JOR,4234.40313273963
JPN,38386.5111457057
KAZ,9247.58133129626
KEN,1572.33549593781
KGZ,1242.76964282023
KHM,1385.2599796333
KIR,1640.50010436018
KNA,19158.7448006081
KOR,31616.8434004683
KWT,29759.4364865575
LAC,9005.7993239704
LAO,2423.8462031921
LBN,7801.17865807555
LBR,698.70176435511
LBY,5756.69844996569
LCA,11047.4449858109
LCN,9448.2552854139
LDC,1046.81551138092
LIC,792.826294086648
LIE,173356.051288416
LKA,4077.04372120747
LMC,2037.37364885081
LMY,4753.27569931336
LSO,1150.07917350089
LTE,9029.7116903086
LTU,16885.4073948373
LUX,107627.151006695
LVA,15682.2214493267
MAC,81516.6749248075
MAR,3036.32525487301
MCO,167517.059727856
MDA,3509.69345025814
MDG,515.29272487784
MDV,9577.62519371477
MEA,7416.58584269787
MEX,9287.84973619382
MHL,3666.69537359193
MIC,5196.35120741564
MKD,5430.87421029797
MLI,830.018367429228
MLT,28091.8616473935
MMR,1291.54241301307
MNA,3815.06235567043
MNE,7784.08791153906
MNG,3669.4175404033
MNP,28305.222587603
MOZ,461.415094120589
MRT,1578.11417355949
MUS,10484.9083620411
MWI,356.717573153369
MYS,10259.1817806895
NAC,58563.8386079219
NAM,5303.30917087143
NER,517.975030051999
NGA,1968.56473841262
NIC,2159.157867515
NLD,48675.2223350213
NOR,75496.7540581998
NPL,911.444266521259
NRU,8510.86840824456
NZL,42674.0620030713
OED,37415.7120057609
OMN,15130.5207386726
OSS,13230.8250084338
PAK,1464.99330546855
PAN,15150.345612161
PER,6710.50802896038
PHL,3123.23422944462
PLW,16066.1949685535
PNG,2695.25188280292
POL,13864.6817579973
PRE,1416.52067917685
PRI,31108.7527508912
PRT,21490.429863104
PRY,5680.58076826353
PSE,3620.36048715937
PSS,4216.56193921309
PST,42928.6921610411
QAT,59124.9323657393
ROU,10807.7953907179
RUS,10720.3325853448
RWA,772.318471775428
SAS,1866.1590187187
SAU,20803.7459178785
SDN,1111.86844893858
SEN,1361.69958778497
SGP,60913.745333494
SLB,2332.8148736562
SLE,499.38070781976
SLV,3910.25719295906
SMR,45399.0290605549
SRB,6292.54362926707
SSA,1551.28375110909
SSF,1563.36124041292
SST,12048.349773617
STP,1813.78323514196
SUR,5637.5149461838
SVK,17556.6008176369
SVN,23512.8172674713
SWE,53791.5087298403
SWZ,3914.61325245175
SXM,29369.0568278169
SYC,15906.0839118192
TCA,27545.8709416678
TCD,665.94835269506
TEA,7249.10181549539
TEC,8552.95276099233
TGO,626.091527901405
THA,6592.91490169864
TJK,806.041573098044
TKM,6587.09031628698
TLA,9303.04856215472
TLS,1286.40575068308
TMN,3816.59680341189
TON,4513.60953145965
TSA,1866.1590187187
TSS,1563.36124041292
TTO,16238.1931916674
TUN,3481.22873876516
TUR,10591.4743712025
TUV,3572.49357894833
TZA,1004.84112066441
UGA,747.196907377979
UKR,2640.67567655839
UMC,8368.5004770471
URY,17322.1473894404
USA,60062.2223132211
UZB,1826.56691924216
VCT,7212.96018080962
VIR,35933.6695220962
VNM,2365.62166567374
VUT,3082.35632289041
WLD,10827.6585821628
WSM,4259.7650014189
XKX,4045.61420880757
YEM,960.528533738514
ZAF,6131.47944960886
ZMB,1534.86675111219
ZWE,1548.17005572552
